80 169
9.183673469387753e-02 1.593670886075951e-02 0.000000000000000e+00
1.020408163265306e-01 1.593670886075951e-02 0.000000000000000e+00
1.122448979591837e-01 1.593670886075951e-02 0.000000000000000e+00
1.224489795918367e-01 1.593670886075951e-02 0.000000000000000e+00
1.326530612244897e-01 1.593670886075952e-02 0.000000000000000e+00
1.428571428571428e-01 1.593670886075952e-02 0.000000000000000e+00
1.530612244897959e-01 1.593670886075952e-02 0.000000000000000e+00
1.632653061224490e-01 1.593670886075952e-02 0.000000000000000e+00
1.734693877551021e-01 1.593670886075952e-02 0.000000000000000e+00
1.836734693877551e-01 1.593670886075952e-02 0.000000000000000e+00
1.938775510204082e-01 1.593670886075953e-02 0.000000000000000e+00
2.040816326530612e-01 1.593670886075953e-02 0.000000000000000e+00
2.142857142857143e-01 1.593670886075952e-02 0.000000000000000e+00
2.244897959183673e-01 1.593670886075953e-02 0.000000000000000e+00
2.346938775510204e-01 1.593670886075953e-02 0.000000000000000e+00
2.448979591836735e-01 1.593670886075953e-02 0.000000000000000e+00
2.551020408163264e-01 1.593670886075954e-02 0.000000000000000e+00
2.653061224489794e-01 1.593670886075954e-02 0.000000000000000e+00
2.755102040816326e-01 1.593670886075954e-02 0.000000000000000e+00
2.857142857142856e-01 1.593670886075954e-02 0.000000000000000e+00
2.959183673469388e-01 1.593670886075954e-02 0.000000000000000e+00
3.061224489795918e-01 1.593670886075954e-02 0.000000000000000e+00
3.163265306122448e-01 1.593670886075955e-02 0.000000000000000e+00
3.265306122448979e-01 1.593670886075955e-02 0.000000000000000e+00
3.367346938775509e-01 1.593670886075954e-02 0.000000000000000e+00
3.469387755102041e-01 1.593670886075956e-02 0.000000000000000e+00
3.571428571428572e-01 1.593670886075956e-02 0.000000000000000e+00
3.673469387755101e-01 1.593670886075956e-02 0.000000000000000e+00
3.775510204081632e-01 1.593670886075956e-02 0.000000000000000e+00
3.877551020408163e-01 1.593670886075957e-02 0.000000000000000e+00
3.979591836734693e-01 1.593670886075956e-02 0.000000000000000e+00
4.081632653061224e-01 1.593670886075956e-02 0.000000000000000e+00
4.183673469387755e-01 1.593670886075957e-02 0.000000000000000e+00
4.285714285714286e-01 1.593670886075957e-02 0.000000000000000e+00
4.387755102040816e-01 1.593670886075957e-02 0.000000000000000e+00
4.489795918367346e-01 1.593670886075957e-02 0.000000000000000e+00
4.591836734693877e-01 1.593670886075957e-02 0.000000000000000e+00
4.693877551020408e-01 1.593670886075958e-02 0.000000000000000e+00
4.795918367346939e-01 1.593670886075958e-02 0.000000000000000e+00
4.897959183673469e-01 1.593670886075958e-02 0.000000000000000e+00
5.000000000000000e-01 1.593670886075958e-02 0.000000000000000e+00
5.084033613445379e-01 1.816030209552186e-02 0.000000000000000e+00
5.168067226890758e-01 2.038389533028411e-02 0.000000000000000e+00
5.252100840336135e-01 2.260748856504633e-02 0.000000000000000e+00
5.336134453781513e-01 2.483108179980859e-02 0.000000000000000e+00
5.420168067226890e-01 2.705467503457085e-02 0.000000000000000e+00
5.504201680672268e-01 2.927826826933311e-02 0.000000000000000e+00
5.588235294117646e-01 3.150186150409540e-02 0.000000000000000e+00
5.672268907563025e-01 3.372545473885761e-02 0.000000000000000e+00
5.756302521008402e-01 3.594904797361989e-02 0.000000000000000e+00
5.840336134453780e-01 3.817264120838213e-02 0.000000000000000e+00
5.924369747899160e-01 4.039623444314440e-02 0.000000000000000e+00
6.008403361344537e-01 4.261982767790665e-02 0.000000000000000e+00
6.092436974789915e-01 4.484342091266892e-02 0.000000000000000e+00
6.176470588235293e-01 4.706701414743118e-02 0.000000000000000e+00
6.260504201680671e-01 4.929060738219346e-02 0.000000000000000e+00
6.344537815126049e-01 5.151420061695568e-02 0.000000000000000e+00
6.428571428571427e-01 5.373779385171792e-02 0.000000000000000e+00
6.512605042016807e-01 5.596138708648024e-02 0.000000000000000e+00
6.596638655462185e-01 5.818498032124248e-02 0.000000000000000e+00
6.680672268907563e-01 6.040857355600471e-02 0.000000000000000e+00
6.764705882352941e-01 6.263216679076698e-02 0.000000000000000e+00
6.848739495798318e-01 6.485576002552926e-02 0.000000000000000e+00
6.932773109243696e-01 6.707935326029151e-02 0.000000000000000e+00
7.016806722689074e-01 6.930294649505374e-02 0.000000000000000e+00
7.100840336134452e-01 7.152653972981601e-02 0.000000000000000e+00
7.184873949579832e-01 7.375013296457829e-02 0.000000000000000e+00
7.268907563025210e-01 7.597372619934055e-02 0.000000000000000e+00
7.352941176470588e-01 7.819731943410277e-02 0.000000000000000e+00
7.436974789915966e-01 8.042091266886503e-02 0.000000000000000e+00
7.521008403361343e-01 8.264450590362731e-02 0.000000000000000e+00
7.605042016806721e-01 8.486809913838958e-02 0.000000000000000e+00
7.689075630252099e-01 8.709169237315181e-02 0.000000000000000e+00
7.773109243697479e-01 8.931528560791409e-02 0.000000000000000e+00
7.857142857142857e-01 9.153887884267634e-02 0.000000000000000e+00
7.941176470588235e-01 9.376247207743857e-02 0.000000000000000e+00
8.025210084033613e-01 9.598606531220084e-02 0.000000000000000e+00
8.109243697478991e-01 9.820965854696315e-02 0.000000000000000e+00
8.193277310924368e-01 1.004332517817254e-01 0.000000000000000e+00
8.277310924369746e-01 1.026568450164876e-01 0.000000000000000e+00
8.361344537815125e-01 1.048804382512499e-01 0.000000000000000e+00
8.445378151260503e-01 1.071040314860121e-01 0.000000000000000e+00
8.529411764705881e-01 1.093276247207744e-01 0.000000000000000e+00
8.613445378151259e-01 1.115512179555367e-01 0.000000000000000e+00
8.697478991596639e-01 1.137748111902989e-01 0.000000000000000e+00
8.781512605042017e-01 1.159984044250612e-01 0.000000000000000e+00
8.865546218487395e-01 1.182219976598234e-01 0.000000000000000e+00
8.949579831932772e-01 1.204455908945857e-01 0.000000000000000e+00
9.033613445378153e-01 1.226691841293480e-01 0.000000000000000e+00
9.117647058823530e-01 1.248927773641102e-01 0.000000000000000e+00
9.201680672268908e-01 1.271163705988725e-01 0.000000000000000e+00
9.285714285714286e-01 1.293399638336347e-01 0.000000000000000e+00
9.369747899159664e-01 1.315635570683970e-01 0.000000000000000e+00
9.453781512605042e-01 1.337871503031592e-01 0.000000000000000e+00
9.537815126050420e-01 1.360107435379214e-01 0.000000000000000e+00
9.621848739495797e-01 1.382343367726838e-01 0.000000000000000e+00
9.705882352941175e-01 1.404579300074460e-01 0.000000000000000e+00
9.789915966386553e-01 1.426815232422083e-01 0.000000000000000e+00
9.873949579831931e-01 1.449051164769705e-01 0.000000000000000e+00
9.957983193277311e-01 1.471287097117328e-01 0.000000000000000e+00
1.004201680672269e+00 1.493523029464951e-01 0.000000000000000e+00
1.012605042016807e+00 1.515758961812573e-01 0.000000000000000e+00
1.021008403361344e+00 1.537994894160196e-01 0.000000000000000e+00
1.029411764705883e+00 1.560230826507819e-01 0.000000000000000e+00
1.037815126050421e+00 1.582466758855441e-01 0.000000000000000e+00
1.046218487394958e+00 1.604702691203064e-01 0.000000000000000e+00
1.054621848739496e+00 1.626938623550686e-01 0.000000000000000e+00
1.063025210084033e+00 1.649174555898308e-01 0.000000000000000e+00
1.071428571428571e+00 1.671410488245931e-01 0.000000000000000e+00
1.079831932773109e+00 1.693646420593554e-01 0.000000000000000e+00
1.088235294117647e+00 1.715882352941177e-01 0.000000000000000e+00
1.096638655462185e+00 1.738118285288799e-01 0.000000000000000e+00
1.105042016806723e+00 1.760354217636422e-01 0.000000000000000e+00
