         1         0.212670814540378E-02         0.425341629081116E-01         0.487511265924291E-13
         2         0.212704809728025E-02         0.425437491471205E-01         0.307525065736559E-04
         3         0.212703085223424E-02         0.425461754049858E-01         0.614577871002297E-04
         4         0.212700599979833E-02         0.425484331776891E-01         0.921093203823145E-04
         5         0.212697364967770E-02         0.425505246142446E-01         0.122707267107830E-03
         6         0.212693384653651E-02         0.425524506521156E-01         0.153251788676200E-03
         7         0.212688663478060E-02         0.425542122236359E-01         0.183743045803400E-03
         8         0.212683205856123E-02         0.425558102559379E-01         0.214181198511689E-03
         9         0.212677016177708E-02         0.425572456709939E-01         0.244566406129902E-03
        10         0.212671641956919E-02         0.425592352965651E-01         0.274898827303025E-03
        11         0.212670598373749E-02         0.425617668779879E-01         0.305178619994465E-03
        12         0.212669545201902E-02         0.425642909975253E-01         0.335405941488913E-03
        13         0.212668476914647E-02         0.425668073952547E-01         0.365580948390072E-03
        14         0.212667392099104E-02         0.425693151275834E-01         0.395703796632900E-03
        15         0.212666289366845E-02         0.425718139069167E-01         0.425774641493377E-03
        16         0.212665167346309E-02         0.425743034492622E-01         0.455793637562259E-03
        17         0.212664024678652E-02         0.425767834754915E-01         0.485760938786222E-03
        18         0.212662860017523E-02         0.425792537090797E-01         0.515676698442808E-03
        19         0.212661672028978E-02         0.425817138760441E-01         0.545541069156309E-03
        20         0.212660459391405E-02         0.425841637049298E-01         0.575354202899737E-03
        21         0.212659220795416E-02         0.425866029267894E-01         0.605116251003418E-03
        22         0.212657954943772E-02         0.425890312751657E-01         0.634827364135648E-03
        23         0.212656660551302E-02         0.425914484860756E-01         0.664487692342261E-03
        24         0.212655336344800E-02         0.425938542979902E-01         0.694097385013284E-03
        25         0.212653981062941E-02         0.425962484518187E-01         0.723656590919147E-03
        26         0.212652593456212E-02         0.425986306908883E-01         0.753165458178418E-03
        27         0.212651172286812E-02         0.426010007609331E-01         0.782624134295300E-03
        28         0.212649716328580E-02         0.426033584100727E-01         0.812032766147995E-03
        29         0.212648224366882E-02         0.426057033887919E-01         0.841391499976853E-03
        30         0.212646695198578E-02         0.426080354499326E-01         0.870700481417633E-03
        31         0.212645127631875E-02         0.426103543486660E-01         0.899959855531214E-03
        32         0.212643520486330E-02         0.426126598424915E-01         0.929169767115545E-03
        33         0.212641872592673E-02         0.426149516912003E-01         0.958330359592930E-03
        34         0.212640182792797E-02         0.426172296568760E-01         0.987441776152077E-03
        35         0.212638449939640E-02         0.426194935038680E-01         0.101650415937226E-02
        36         0.212636672897125E-02         0.426217429987808E-01         0.104551765123298E-02
        37         0.212634850540063E-02         0.426239779104519E-01         0.107448239312222E-02
        38         0.212632981754104E-02         0.426261980099464E-01         0.110339852582029E-02
        39         0.212631065435630E-02         0.426284030705316E-01         0.113226618952669E-02
        40         0.212629100491679E-02         0.426305928676617E-01         0.116108552384279E-02
        41         0.212627085839880E-02         0.426327671789663E-01         0.118985666778813E-02
        42         0.212625020408376E-02         0.426349257842347E-01         0.121857975979389E-02
        43         0.212622903135737E-02         0.426370684653948E-01         0.124725493772010E-02
        44         0.212620732970899E-02         0.426391950065066E-01         0.127588233883879E-02
        45         0.212618508873065E-02         0.426413051937352E-01         0.130446209984929E-02
        46         0.212616229811671E-02         0.426433988153504E-01         0.133299435688228E-02
        47         0.212613894766255E-02         0.426454756616967E-01         0.136147924549938E-02
        48         0.212611502726445E-02         0.426475355251904E-01         0.138991690068882E-02
        49         0.212609052691840E-02         0.426495782002970E-01         0.141830745688102E-02
        50         0.212606543671949E-02         0.426516034835183E-01         0.144665104794526E-02
        51         0.212603974686143E-02         0.426536111733828E-01         0.147494780719163E-02
        52         0.212601344763531E-02         0.426556010704179E-01         0.150319786737291E-02
        53         0.212598652942957E-02         0.426575729771542E-01         0.153140136069545E-02
        54         0.212595898272861E-02         0.426595266980953E-01         0.155955841881054E-02
        55         0.212593079811265E-02         0.426614620397129E-01         0.158766917282216E-02
        56         0.212590196625663E-02         0.426633788104248E-01         0.161573375329048E-02
        57         0.212587247792981E-02         0.426652768205895E-01         0.164375229023933E-02
        58         0.212584232399480E-02         0.426671564279952E-01         0.167172491314575E-02
        59         0.212581165273446E-02         0.426690299705262E-01         0.169965175095023E-02
        60         0.212578134281374E-02         0.426710888676852E-01         0.172753293207386E-02
        61         0.212575263314292E-02         0.426733658894977E-01         0.175536858438732E-02
        62         0.212573241866938E-02         0.426756372692065E-01         0.178315883523963E-02
        63         0.212572127931898E-02         0.426779029370537E-01         0.181090381146366E-02
        64         0.212571012165253E-02         0.426801628714433E-01         0.183860363935808E-02
        65         0.212569891348631E-02         0.426824170504055E-01         0.186625844469968E-02
        66         0.212568765348548E-02         0.426846654516003E-01         0.189386835276007E-02
        67         0.212567634080286E-02         0.426869080523217E-01         0.192143348827743E-02
        68         0.212566497743581E-02         0.426891478473718E-01         0.194895397549365E-02
        69         0.212565355854591E-02         0.426913824587355E-01         0.197642993813249E-02
        70         0.212564208276842E-02         0.426936113988557E-01         0.200386149940583E-02
        71         0.212563054872728E-02         0.426958346481971E-01         0.203124878202715E-02
        72         0.212561895504202E-02         0.426980521870081E-01         0.205859190820220E-02
        73         0.212560730041844E-02         0.427002639952258E-01         0.208589099963841E-02
        74         0.212559558334471E-02         0.427024701459022E-01         0.211314617755180E-02
        75         0.212558380239840E-02         0.427046705838491E-01         0.214035756264506E-02
        76         0.212557195614607E-02         0.427068652408868E-01         0.216752527514632E-02
        77         0.212556004314446E-02         0.427090540961978E-01         0.219464943478374E-02
        78         0.212554806193869E-02         0.427112371286916E-01         0.222173016079599E-02
